//0																													
//Oxygen,  1.005
//Nitrate, 1,1,6.2,0
//pH, 1,-.021, 0.07
//pH, 2,0.037, 0.01
//pH, 13, 0, -0.044
//pH, 27, -0.005, 0
//pH, 28, -0.010, 0
//pH, 29, -0.005, 0.04
//pH, 40, 0, -0.008
//Chl,  0.1697,  -0.0022
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		141.47	0	0.9823	0	34.6376	0	27.742	0	189.64	0	54.20	0	33.50	0	0.025958	0	0.000111	0	7.8901	0	7.5609	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		130.92	0	0.5507	0	34.5598	0	27.713	0	205.72	0	58.10	0	33.27	0	0.029352	0	0.000112	0	7.9073	0	7.5704	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		120.91	0	0.1096	0	34.4803	0	27.682	0	223.71	0	62.43	0	32.43	0	0.034443	0	0.000112	0	7.9288	0	7.5839	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		110.72	0	-0.5138	0	34.3504	0	27.621	0	252.96	0	69.37	0	31.06	0	0.05311	0	0.000118	0	7.9602	0	7.6039	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		101.15	0	-0.8148	0	34.2561	0	27.565	0	282.41	0	76.78	0	30.53	0	0.073474	0	0.000126	0	7.9803	0	7.6179	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		96.69	0	-0.7122	0	34.0932	0	27.427	0	297.78	0	81.09	0	28.96	0	0.078565	0	0.00013	0	8.0005	0	7.6377	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		91.32	0	-0.363	0	33.9032	0	27.25	0	321.10	0	88.14	0	27.03	0	0.085353	0	0.000132	0	8.0224	0	7.6622	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		86.81	0	-0.3004	0	33.8713	0	27.22	0	334.56	0	91.97	0	26.84	0	0.088747	0	0.000146	0	8.0287	0	7.6688	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		81.36	0	-0.2293	0	33.8241	0	27.177	0	342.71	0	94.35	0	26.77	0	0.090444	0	0.000144	0	8.0297	0	7.6704	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		75.78	0	-0.2302	0	33.8233	0	27.176	0	346.93	0	95.51	0	26.69	0	0.092141	0	0.000143	0	8.0313	0	7.6717	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		70.32	0	-0.2271	0	33.8238	0	27.176	0	349.44	0	96.21	0	26.82	0	0.088747	0	0.000186	0	8.0306	0	7.6710	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		65.15	0	-0.2291	0	33.8237	0	27.176	0	350.64	0	96.54	0	26.70	0	0.092141	0	0.000146	0	8.0317	0	7.6717	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		60.54	0	-0.2293	0	33.8226	0	27.175	0	351.45	0	96.76	0	26.73	0	0.090444	0	0.000141	0	8.0318	0	7.6717	0
