//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    66.35	0	 10.0839	0	33.6921	0	25.815	0	128.8	0	45.3	0	21.15	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    61.05	0	 10.1410	0	33.6658	0	25.783	0	135.3	0	47.7	0	20.80	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    56.73	0	 10.1661	0	33.6370	0	25.755	0	147.7	0	52.0	0	20.54	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    51.12	0	 10.2977	0	33.5914	0	25.694	0	157.0	0	55.5	0	19.62	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    46.71	0	 10.7141	0	33.5831	0	25.614	0	166.3	0	59.3	0	18.02	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    41.77	0	 11.2820	0	33.5828	0	25.512	0	190.3	0	68.7	0	15.86	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    36.86	0	 11.3238	0	33.5388	0	25.467	0	205.0	0	74.0	0	14.96	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    31.74	0	 11.7916	0	33.5002	0	25.348	0	231.1	0	84.3	0	11.95	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    26.87	0	 11.6300	0	33.4164	0	25.308	0	234.4	0	85.2	0	11.66	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    21.51	0	 11.9199	0	33.4130	0	25.251	0	233.6	0	85.4	0	10.17	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    16.76	0	 12.7251	0	33.4799	0	25.152	0	246.5	0	91.7	0	06.55	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    11.74	0	 12.7624	0	33.3293	0	25.018	0	264.3	0	98.3	0	06.98	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		     7.61	0	 13.2162	0	33.3175	0	24.918	0	263.9	0	99.0	0	05.99	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558																	
6401MtyBay	 4	C	08/05/2009	09:59	237.642	 36.581		   999.85	0	  4.0861	0	34.4375	0	27.279	0	12.1	0	3.7	0	40.51	0
6401MtyBay	 4	C	08/05/2009	09:59	237.642	 36.581		   950.71	0	  4.2211	0	34.4191	0	27.249	0	10.4	0	3.2	0	40.51	0
6401MtyBay	 4	C	08/05/2009	09:59	237.642	 36.581		   901.17	0	  4.3436	0	34.3963	0	27.216	0	8.7	0	2.7	0	40.43	0
6401MtyBay	 4	C	08/05/2009	09:59	237.642	 36.581		   851.08	0	  4.5503	0	34.3980	0	27.194	0	7.8	0	2.4	0	40.02	0
6401MtyBay	 4	C	08/05/2009	09:59	237.642	 36.581		   801.43	0	  4.7081	0	34.3707	0	27.153	0	7.3	0	2.3	0	39.79	0
